2023-07-25 20:20:56:919 : $BUMP,1678121254,67404,33.32,42.95,55324.18,32.44,1002.00,-0.11,0.060,12.053,378
2023-07-25 20:20:57:020 : $BUMP,1678121254,67502,33.32,42.66,55324.61,32.44,1002.00,-0.11,0.060,12.053,378
2023-07-25 20:20:57:120 : $BUMP,1678121254,67600,33.31,42.95,55321.02,32.44,1002.00,-0.11,0.060,12.053,380
2023-07-25 20:20:57:220 : $BUMP,1678121254,67699,33.32,42.95,55321.89,32.44,1001.00,-0.12,0.060,12.053,378
2023-07-25 20:20:57:320 : $BUMP,1678121254,67797,33.32,42.93,55321.46,32.44,1002.00,-0.11,0.060,12.053,378
2023-07-25 20:20:57:420 : $BUMP,1678121254,67895,33.32,42.93,55329.63,32.44,1001.00,-0.12,0.060,12.053,378
2023-07-25 20:20:57:520 : $BUMP,1678121254,67993,33.33,42.93,55322.32,32.44,1001.00,-0.12,0.060,12.053,378
2023-07-25 20:20:57:621 : $BUMP,1678121255,68092,33.32,42.93,55327.34,32.44,1002.00,-0.11,0.060,12.053,378
2023-07-25 20:20:57:721 : $BUMP,1678121255,68190,33.32,42.93,55321.46,32.44,1001.00,-0.12,0.060,12.053,378
2023-07-25 20:20:57:821 : $BUMP,1678121255,68288,33.32,42.95,55321.89,32.44,1002.00,-0.11,0.060,12.053,378
2023-07-25 20:20:57:921 : $BUMP,1678121255,68387,33.33,42.90,55327.77,32.44,1001.00,-0.12,0.060,12.053,377
2023-07-25 20:20:58:021 : $BUMP,1678121255,68485,33.32,42.95,55321.46,32.44,1001.00,-0.12,0.060,12.053,378
2023-07-25 20:20:58:121 : $BUMP,1678121255,68583,33.31,42.89,55326.47,32.44,1001.00,-0.12,0.060,12.053,378
2023-07-25 20:20:58:221 : $BUMP,1678121255,68681,33.32,42.92,55321.46,32.44,1002.00,-0.11,0.060,12.053,379
2023-07-25 20:20:58:322 : $BUMP,1678121255,68780,33.32,42.95,55324.61,32.44,1002.00,-0.11,0.060,12.053,379
2023-07-25 20:20:58:422 : $BUMP,1678121255,68878,33.31,42.95,55326.47,32.44,1001.00,-0.12,0.060,12.053,379
2023-07-25 20:20:58:522 : $BUMP,1678121255,68976,33.32,42.96,55321.46,32.44,1002.00,-0.11,0.075,12.053,379
2023-07-25 20:20:58:622 : $BUMP,1678121256,69075,33.32,42.93,55321.46,32.44,1001.00,-0.12,0.075,12.053,379
2023-07-25 20:20:58:722 : $BUMP,1678121256,69173,33.32,42.95,55324.18,32.44,1002.00,-0.11,0.060,12.053,379
2023-07-25 20:20:58:822 : $BUMP,1678121256,69271,33.32,43.09,55316.01,32.44,1001.00,-0.12,0.060,12.053,379
2023-07-25 20:20:58:923 : $BUMP,1678121256,69369,33.32,42.93,55321.46,32.44,1002.00,-0.11,0.060,12.053,379
2023-07-25 20:20:59:023 : $BUMP,1678121256,69468,33.32,43.11,55321.89,32.44,1001.00,-0.12,0.060,12.053,379
2023-07-25 20:20:59:023 : $BUMP,1678121256,69566,33.32,42.95,55321.89,32.44,1002.00,-0.11,0.060,12.053,379
2023-07-25 20:20:59:123 : $BUMP,1678121256,69664,33.32,42.91,55326.91,32.44,1002.00,-0.11,0.060,12.053,379
2023-07-25 20:20:59:223 : $BUMP,1678121256,69763,33.31,42.93,55326.47,32.44,1001.00,-0.12,0.060,12.053,380
2023-07-25 20:20:59:323 : $BUMP,1678121256,69861,33.32,42.92,55321.46,32.44,1002.00,-0.11,0.060,12.053,379
2023-07-25 20:20:59:423 : $BUMP,1678121256,69959,33.32,42.96,55321.46,32.44,1001.00,-0.12,0.060,12.053,379
2023-07-25 20:20:59:524 : $BUMP,1678121257,70057,33.32,42.96,55321.46,32.44,1002.00,-0.11,0.060,12.053,379
2023-07-25 20:20:59:624 : $BUMP,1678121257,70156,33.32,42.95,55324.18,32.44,1001.00,-0.12,0.060,12.053,380
2023-07-25 20:20:59:724 : $BUMP,1678121257,70254,33.32,42.95,55326.91,32.44,1001.00,-0.12,0.060,12.053,377
2023-07-25 20:20:59:824 : $BUMP,1678121257,70352,33.32,43.05,55321.46,32.44,1001.00,-0.12,0.060,12.053,380
2023-07-25 20:20:59:924 : $BUMP,1678121257,70451,33.32,42.96,55327.34,32.44,1002.00,-0.11,0.060,12.053,380
2023-07-25 20:21:00:024 : $BUMP,1678121257,70549,33.33,43.07,55322.32,32.44,1002.00,-0.11,0.060,12.053,380
2023-07-25 20:21:00:125 : $BUMP,1678121257,70647,33.33,42.95,55322.32,32.44,1001.00,-0.12,0.060,12.053,380
2023-07-25 20:21:00:225 : $BUMP,1678121257,70745,33.33,42.95,55325.05,32.44,1001.00,-0.12,0.060,12.053,380
2023-07-25 20:21:00:325 : $BUMP,1678121257,70844,33.32,42.97,55321.46,32.44,1002.00,-0.11,0.060,12.053,384
2023-07-25 20:21:00:425 : $BUMP,1678121257,70942,33.33,42.97,55325.05,32.44,1001.00,-0.12,0.060,12.053,381
2023-07-25 20:21:00:525 : $BUMP,1678121258,71040,33.32,42.96,55326.91,32.44,1002.00,-0.11,0.060,12.053,381
2023-07-25 20:21:00:625 : $BUMP,1678121258,71139,33.34,42.96,55323.19,32.44,1002.00,-0.11,0.060,12.053,380
2023-07-25 20:21:00:726 : $BUMP,1678121258,71237,33.32,43.00,55324.61,32.43,1002.00,-0.11,0.060,12.053,383
2023-07-25 20:21:00:826 : $BUMP,1678121258,71335,33.33,42.95,55319.60,32.44,1002.00,-0.11,0.060,12.053,380
2023-07-25 20:21:00:926 : $BUMP,1678121258,71433,33.33,43.03,55330.50,32.44,1001.00,-0.12,0.060,12.053,381
2023-07-25 20:21:01:026 : $BUMP,1678121258,71532,33.32,42.93,55326.91,32.44,1001.00,-0.12,0.060,12.053,381
2023-07-25 20:21:01:127 : $BUMP,1678121258,71630,33.32,42.96,55321.89,32.44,1002.00,-0.11,0.060,12.053,381
2023-07-25 20:21:01:227 : $BUMP,1678121258,71728,33.33,42.96,55325.48,32.44,1001.00,-0.12,0.060,12.053,381
2023-07-25 20:21:01:327 : $BUMP,1678121258,71827,33.33,42.95,55327.77,32.44,1001.00,-0.12,0.060,12.053,381
2023-07-25 20:21:01:427 : $BUMP,1678121258,71925,33.32,42.93,55324.61,32.44,1002.00,-0.11,0.060,12.053,381
2023-07-25 20:21:01:527 : $BUMP,1678121259,72023,33.32,42.95,55324.61,32.44,1001.00,-0.12,0.060,12.053,380
